time_ms,acc_x,acc_y,acc_z
399,-15.75,-47.24,975.40
499,-9.52,-50.54,972.66
600,-10.80,-50.72,976.14
701,-16.48,-49.26,975.95
802,-19.78,-51.27,975.95
903,-17.21,-48.16,975.59
1004,-15.75,-49.80,973.57
1105,-14.65,-51.45,976.68
1206,-16.66,-49.80,974.49
1307,-13.00,-50.90,975.40
1408,-18.49,-51.64,974.85
1508,-17.76,-49.26,975.77
1608,-16.48,-48.71,973.75
1708,-16.48,-50.54,974.67
1808,-18.31,-49.26,975.40
1908,-15.93,-50.17,977.05
2008,-14.28,-52.73,974.49
2108,-16.66,-49.99,975.95
2208,-17.76,-53.65,975.59
2308,-15.38,-51.82,975.59
2408,-17.40,-49.99,977.05
2508,-16.85,-49.62,975.95
2608,-12.27,-47.42,976.68
2708,-18.31,-49.80,973.94
2808,-16.11,-49.26,975.22
2908,-19.04,-49.62,975.04
3008,-18.13,-49.44,975.40
3108,-15.56,-52.19,976.68
3208,-14.65,-50.35,975.04
3308,-15.56,-49.07,973.39
3409,-14.28,-51.82,975.22
3509,-16.66,-51.27,976.50
3609,-18.31,-49.07,976.14
3709,-16.48,-49.99,975.04
3809,-16.30,-49.44,973.94
3909,-14.83,-50.35,977.05
4009,-17.03,-51.27,973.39
4109,-15.75,-50.54,976.32
4209,-12.63,-50.35,975.59
4309,-16.85,-55.11,973.39
4409,-17.76,-50.54,976.68
4509,-15.20,-51.27,974.67
4609,-15.01,-51.82,974.85
4709,-18.31,-51.09,971.74
4809,-16.66,-51.27,976.14
4909,-14.47,-52.19,976.14
5009,-16.66,-49.99,973.57
5109,-17.40,-53.10,976.14
5209,-15.56,-51.64,975.22
5309,-17.58,-50.72,975.95
5409,-14.28,-51.64,973.39
5522,-15.75,-52.19,974.85
5622,-14.65,-49.80,974.67
5722,-16.85,-49.80,976.68
5822,-14.28,-51.82,975.59
5922,-16.66,-50.54,976.32
6022,-14.83,-50.72,975.22
6122,-15.38,-51.09,976.68
6222,-18.49,-51.27,975.59
6322,-17.21,-49.99,975.59
6422,-14.10,-49.99,973.57
6523,-15.75,-50.90,973.39
6623,-17.76,-51.09,975.59
6723,-17.58,-50.90,974.30
6823,-17.21,-51.27,976.32
6923,-17.58,-48.71,976.32
7023,-18.13,-51.27,972.84
7123,-17.03,-50.72,977.05
7223,-17.40,-51.27,977.05
7323,-15.38,-49.62,975.40
7423,-17.21,-51.64,974.12
7523,-16.66,-52.37,977.05
7623,-18.13,-51.09,977.60
7723,-19.59,-48.71,975.77
7823,-17.94,-48.52,973.39
7923,-14.47,-51.82,976.50
8023,-15.56,-51.45,976.87
8123,-15.20,-51.64,976.14
8223,-20.14,-48.16,975.04
8323,-15.01,-49.80,975.40
8423,-17.21,-49.62,973.94
8523,-16.66,-49.80,973.39
8647,-15.20,-51.82,974.12
8747,-17.58,-49.99,973.75
8847,-16.48,-51.45,974.67
8947,-17.76,-50.35,974.30
9047,-17.58,-52.00,972.84
9147,-16.66,-49.80,974.49
9247,-15.38,-51.45,975.59
9347,-15.01,-52.37,975.95
9447,-16.30,-49.26,975.22
9547,-16.85,-50.72,977.42
9648,-18.13,-52.19,975.04
9748,-18.49,-51.64,979.61
9848,-16.30,-50.54,974.67
9948,-15.38,-51.09,976.87
10048,-14.10,-49.80,973.57
10148,-15.56,-52.55,974.85
10248,-15.75,-48.71,977.23
10348,-16.48,-51.45,972.47
10448,-17.03,-49.62,973.94
10548,-17.94,-50.72,974.30
10748,-15.01,-50.90,976.87
10848,-17.03,-51.64,971.74
10948,-16.85,-50.90,977.60
11048,-15.38,-50.54,973.75
11148,-14.65,-51.27,975.77
11248,-14.10,-49.99,973.94
11348,-15.01,-52.55,975.04
11448,-15.75,-50.35,973.57
11548,-17.58,-49.26,974.30
11648,-17.21,-48.16,974.12
11767,-17.21,-49.26,973.21
11867,-16.85,-49.99,972.29
11967,-18.86,-48.34,975.22
12067,-16.85,-49.80,974.67
12167,-15.93,-50.90,974.30
12267,-16.48,-50.54,974.85
12367,-17.21,-50.35,975.59
12467,-16.66,-51.27,976.50
12567,-16.85,-52.00,975.22
12667,-16.85,-52.92,975.40
12768,-15.93,-49.44,976.50
12868,-17.58,-49.26,974.30
12968,-18.13,-52.55,975.95
13068,-18.31,-51.64,974.85
13168,-19.04,-50.35,975.59
13268,-17.76,-51.09,976.14
13368,-19.23,-50.72,973.57
13468,-16.66,-49.62,973.94
13568,-17.58,-50.54,974.85
13668,-17.03,-47.24,973.39
13868,-17.40,-50.35,974.49
13968,-17.58,-48.52,975.22
14068,-16.30,-50.35,976.87
14168,-16.48,-50.35,975.40
14268,-16.48,-52.19,976.14
14368,-16.48,-50.54,973.75
14468,-18.86,-50.54,975.59
14568,-19.59,-48.71,973.94
14668,-17.03,-50.54,975.59
14768,-17.58,-49.07,976.14
14891,-15.38,-49.44,973.94
14991,-19.23,-48.71,974.30
15091,-18.86,-50.90,974.85
15191,-14.83,-49.62,975.77
15291,-20.32,-51.45,974.30
15391,-17.76,-48.34,974.12
15491,-16.30,-48.89,974.12
15591,-16.11,-50.54,974.85
15691,-14.83,-52.73,975.04
15791,-16.85,-50.17,974.85
15892,-15.56,-49.99,974.30
15992,-18.86,-50.90,975.59
16092,-16.85,-48.71,975.04
16192,-15.93,-51.45,975.04
16292,-17.21,-51.45,976.14
16392,-19.96,-50.54,973.21
16492,-17.40,-50.17,976.32
16592,-15.75,-49.62,977.42
16692,-14.65,-50.54,973.02
16792,-15.38,-46.88,974.49
16992,-17.03,-50.35,975.22
17092,-15.38,-52.73,976.68
17192,-15.20,-49.99,974.67
17292,-18.31,-50.35,975.95
17392,-16.48,-49.62,972.84
17492,-16.30,-51.27,975.22
17592,-18.49,-51.45,975.22
17692,-17.40,-51.09,975.40
17792,-18.13,-47.42,973.21
17892,-16.11,-50.90,975.95
18009,-16.48,-52.00,975.04
18109,-17.94,-50.17,974.30
18209,-19.59,-49.80,974.67
18309,-14.65,-51.27,976.32
18409,-15.75,-47.79,975.04
18509,-19.59,-49.80,975.22
18609,-17.58,-51.09,975.77
18709,-18.49,-50.17,974.67
18809,-16.11,-48.52,974.30
18909,-15.75,-49.26,975.95
19010,-12.82,-52.19,974.12
19110,-15.56,-51.45,976.32
19210,-17.76,-50.54,975.40
19310,-14.47,-50.72,975.04
19410,-17.03,-48.89,973.75
19510,-17.76,-46.88,974.85
19610,-16.48,-48.52,975.77
19710,-17.40,-54.20,975.77
