Time: 5071ms | acc_x:-29.48 | acc_y:-46.51 | acc_z:974.12
Time: 5173ms | acc_x:-28.93 | acc_y:-43.76 | acc_z:978.52
Time: 5275ms | acc_x:-28.38 | acc_y:-41.02 | acc_z:978.15
Time: 5377ms | acc_x:-29.85 | acc_y:-42.66 | acc_z:975.40
Time: 5479ms | acc_x:-29.85 | acc_y:-42.85 | acc_z:977.23
Time: 5581ms | acc_x:-26.37 | acc_y:-38.82 | acc_z:975.40
Time: 5683ms | acc_x:-27.47 | acc_y:-42.30 | acc_z:975.22
Time: 5785ms | acc_x:-27.83 | acc_y:-43.03 | acc_z:976.32
Time: 5887ms | acc_x:-26.92 | acc_y:-39.73 | acc_z:977.05
Time: 5989ms | acc_x:-28.02 | acc_y:-44.49 | acc_z:977.23
Time: 6091ms | acc_x:-28.38 | acc_y:-43.21 | acc_z:977.60
Time: 6193ms | acc_x:-26.18 | acc_y:-41.20 | acc_z:976.32
Time: 6295ms | acc_x:-27.28 | acc_y:-42.30 | acc_z:976.14
Time: 6397ms | acc_x:-25.82 | acc_y:-41.75 | acc_z:977.60
Time: 6499ms | acc_x:-30.58 | acc_y:-41.20 | acc_z:973.39
Time: 6601ms | acc_x:-28.56 | acc_y:-43.76 | acc_z:977.97
Time: 6703ms | acc_x:-27.83 | acc_y:-43.58 | acc_z:974.85
Time: 6805ms | acc_x:-26.92 | acc_y:-43.21 | acc_z:977.05
Time: 6906ms | acc_x:-27.10 | acc_y:-43.76 | acc_z:975.59
Time: 7009ms | acc_x:-28.93 | acc_y:-41.56 | acc_z:977.78
Time: 7111ms | acc_x:-26.00 | acc_y:-41.93 | acc_z:976.32
Time: 7213ms | acc_x:-28.20 | acc_y:-43.21 | acc_z:975.04
Time: 7315ms | acc_x:-28.38 | acc_y:-42.85 | acc_z:975.77
Time: 7417ms | acc_x:-27.10 | acc_y:-42.11 | acc_z:975.40
Time: 7519ms | acc_x:-26.92 | acc_y:-41.20 | acc_z:973.94
Time: 7621ms | acc_x:-28.38 | acc_y:-42.11 | acc_z:975.77
Time: 7723ms | acc_x:-27.28 | acc_y:-43.58 | acc_z:973.75
Time: 7825ms | acc_x:-27.10 | acc_y:-42.48 | acc_z:976.50
Time: 7927ms | acc_x:-28.02 | acc_y:-41.56 | acc_z:976.32
Time: 8029ms | acc_x:-26.92 | acc_y:-42.48 | acc_z:975.40
Time: 8131ms | acc_x:-30.21 | acc_y:-42.48 | acc_z:975.59
Time: 8233ms | acc_x:-26.18 | acc_y:-41.93 | acc_z:975.04
Time: 8335ms | acc_x:-29.11 | acc_y:-42.48 | acc_z:975.95
Time: 8437ms | acc_x:-27.47 | acc_y:-40.28 | acc_z:973.39
Time: 8539ms | acc_x:-29.11 | acc_y:-41.75 | acc_z:974.49
Time: 8641ms | acc_x:-28.02 | acc_y:-43.76 | acc_z:974.85
Time: 8743ms | acc_x:-28.56 | acc_y:-44.13 | acc_z:978.15
Time: 8845ms | acc_x:-28.56 | acc_y:-40.83 | acc_z:975.59
Time: 8947ms | acc_x:-26.18 | acc_y:-42.48 | acc_z:974.67
Time: 9049ms | acc_x:-27.10 | acc_y:-42.66 | acc_z:976.68
Time: 9151ms | acc_x:-27.47 | acc_y:-41.75 | acc_z:978.52
Time: 9253ms | acc_x:-28.75 | acc_y:-40.28 | acc_z:976.50
Time: 9355ms | acc_x:-28.56 | acc_y:-43.03 | acc_z:975.04
Time: 9456ms | acc_x:-26.37 | acc_y:-42.11 | acc_z:975.59
Time: 9558ms | acc_x:-26.73 | acc_y:-42.66 | acc_z:975.77
Time: 9661ms | acc_x:-27.83 | acc_y:-41.38 | acc_z:975.77
Time: 9763ms | acc_x:-26.73 | acc_y:-43.58 | acc_z:973.94
Time: 9865ms | acc_x:-27.47 | acc_y:-42.48 | acc_z:975.77
Time: 9967ms | acc_x:-28.38 | acc_y:-39.73 | acc_z:976.50
Time: 10069ms | acc_x:-28.56 | acc_y:-41.93 | acc_z:974.12
Time: 10171ms | acc_x:-27.28 | acc_y:-41.20 | acc_z:974.67
Time: 10272ms | acc_x:-27.83 | acc_y:-41.75 | acc_z:974.85
Time: 10374ms | acc_x:-29.66 | acc_y:-43.95 | acc_z:977.97
Time: 10476ms | acc_x:-27.47 | acc_y:-41.56 | acc_z:975.95
Time: 10578ms | acc_x:-28.02 | acc_y:-41.93 | acc_z:975.59
Time: 10680ms | acc_x:-27.65 | acc_y:-42.30 | acc_z:975.59
Time: 10782ms | acc_x:-26.37 | acc_y:-41.93 | acc_z:976.68
Time: 10884ms | acc_x:-26.55 | acc_y:-41.93 | acc_z:975.40
Time: 10986ms | acc_x:-26.92 | acc_y:-41.75 | acc_z:975.77
Time: 11088ms | acc_x:-28.93 | acc_y:-45.04 | acc_z:977.60
Time: 11190ms | acc_x:-27.47 | acc_y:-42.11 | acc_z:978.52
Time: 11292ms | acc_x:-25.63 | acc_y:-42.85 | acc_z:976.87
Time: 11394ms | acc_x:-25.45 | acc_y:-41.93 | acc_z:977.97
Time: 11496ms | acc_x:-26.92 | acc_y:-41.02 | acc_z:977.60
Time: 11598ms | acc_x:-25.63 | acc_y:-40.65 | acc_z:975.77
Time: 11700ms | acc_x:-27.28 | acc_y:-40.28 | acc_z:977.60
Time: 11802ms | acc_x:-27.28 | acc_y:-41.20 | acc_z:974.67
